Instance,Income
111994,30482.847254690005
111995,20451.507359949996
111996,39534.44807559999
111997,107606.34339270002
111998,26198.893813630002
111999,77693.881977
112000,93727.29034399995
112001,46577.15042080001
112002,26808.088724900004
112003,108014.56130349996
112004,18043.601388669995
112005,174689.68544109995
112006,17851.283936095995
112007,101788.59014689997
112008,218977.1585919999
112009,60619.598833486016
112010,69604.05511779999
112011,20036.75070739599
112012,41158.84243586999
112013,33440.870767179986
112014,135758.07648279998
112015,40123.69939599999
112016,48925.826226339974
112017,16941.298065649997
112018,166230.88374209992
112019,57609.98066899996
112020,27170.185353029996
112021,17027.919523270008
112022,78894.43369350005
112023,42461.14901169999
112024,11753.054113543003
112025,81940.56331440003
112026,29898.088571730004
112027,61595.849274900014
112028,27541.76691571
112029,56255.7455059
112030,192981.64641400002
112031,206656.463378
112032,285863.6095440001
112033,117436.76260840001
112034,207824.26504399997
112035,93715.47469980002
112036,182891.64581800008
112037,166738.20089770007
112038,195278.84073929995
112039,46173.629147099986
112040,63924.143637099995
112041,58433.210994000015
112042,23030.339208361995
112043,54622.313379200015
112044,41275.55079888001
112045,28246.81691132
112046,240259.1296009999
112047,26179.327175679988
112048,13549.112216968
112049,105318.62856869992
112050,46939.84331708001
112051,58736.8215743
112052,136158.9267953
112053,193372.11019200005
112054,74761.98605000005
112055,19847.102278500002
112056,88813.78196300002
112057,29746.500771759976
112058,46309.80688995001
112059,35488.03117404999
112060,312818.89984399994
112061,162153.13713029996
112062,240913.6282859998
112063,60015.602355099974
112064,29921.953848999998
112065,66310.09674549996
112066,12198.351112241
112067,114104.1809006
112068,70711.39345069998
112069,292013.88564899995
112070,261775.31417400014
112071,61999.736849
112072,77226.75586569996
112073,39801.0142259
112074,16863.872492680002
112075,28808.58624083999
112076,118624.86621959998
112077,1131213.6110260002
112078,21916.76700276001
112079,161212.20288699996
112080,91080.32654800004
112081,887815.427719
112082,21144.697908390015
112083,30961.757481739995
112084,27313.413742729994
112085,38654.33814031
112086,25074.774562870003
112087,63728.12758509995
112088,124595.64872509995
112089,52818.52891361001
112090,154703.50611960006
112091,34789.57039369999
112092,19273.27789466
112093,104799.15710019994
112094,20229.973479849996
112095,20904.56964037
112096,123969.87725509997
112097,19404.675478760008
112098,26718.61972403999
112099,26389.712425280013
112100,29737.78795490999
112101,178945.0566014001
112102,16860.032764299
112103,131245.59599200008
112104,57063.64300099999
112105,35239.5774917
112106,91344.99533729996
112107,108509.28439690001
112108,89449.72613379998
112109,38387.61672807003
112110,46588.82851290002
112111,31287.335340720005
112112,69697.36862040003
112113,68587.31289139998
112114,70273.36109340002
112115,25638.364685570006
112116,52754.369929199995
112117,77787.89270619999
112118,28466.231971149995
112119,37924.09751757001
112120,513163.51783499983
112121,115269.32577140004
112122,450601.56457799993
112123,195943.6097196
112124,65675.0781724
112125,174583.40522260006
112126,161664.87476910002
112127,15121.935509559997
112128,32249.87813840001
112129,118994.31293109996
112130,89668.76025500003
112131,32577.779385612008
112132,75169.48185890005
112133,241983.92694699994
112134,29180.35382773001
112135,16789.882335246
112136,28581.68669058
112137,22569.34645749001
112138,53218.45918219998
112139,57127.00854530005
112140,34155.161420748016
112141,37517.01556139
112142,54657.0116364
112143,206325.58796140007
112144,19767.26530097001
112145,18968.011967892944
112146,35921.17435830001
112147,252061.609158
112148,42394.00091249999
112149,67665.63487330002
112150,22517.820466049998
112151,347369.5395
112152,127889.3730245001
112153,45771.9213426
112154,40585.846721699985
112155,83993.91484090005
112156,65994.72541250003
112157,99272.54902639998
112158,24685.789084310007
112159,264685.20717179985
112160,40789.861338499984
112161,160155.34933949995
112162,66104.13120990002
112163,28819.032397170005
112164,45860.87008242
112165,115866.38042249995
112166,58501.36386987997
112167,54787.490075589994
112168,39439.30808170002
112169,267237.30209
112170,237548.24473399986
112171,41002.68937040001
112172,17812.757219650004
112173,123339.42635860002
112174,26226.805118030006
112175,28217.215237010005
112176,25565.86130723
112177,79828.47936730002
112178,18565.13981144
112179,33100.80041898
112180,21655.197380159992
112181,16978.129752009994
112182,265707.99322000006
112183,96917.6747718
112184,17290.17792775001
112185,289479.7607349999
112186,25992.260960440006
112187,105380.59270119997
112188,104040.40365999997
112189,30403.052713110006
112190,47408.78031489999
112191,81580.2411734
112192,191753.2317705
112193,32279.155632419996
112194,146179.97196659996
112195,39396.683902040015
112196,26710.03483351999
112197,200548.68520500007
112198,21374.502818570007
112199,31707.579528070004
112200,44055.19254470001
112201,349662.334602
112202,136016.8268327001
112203,27271.271292539994
112204,25217.205670009997
112205,22586.29128174
112206,121455.6895825
112207,324720.2476710001
112208,60482.0029675
112209,378217.28937599994
112210,49174.33143560002
112211,252127.06910199992
112212,32278.984033280005
112213,27997.920205460017
112214,188625.9234618
112215,48031.097223400015
112216,100304.26075299998
112217,32259.49930720003
112218,32920.667792500004
112219,451675.3445079998
112220,42126.80744504
112221,16435.968453489695
112222,27212.21423843999
112223,43826.3003889
112224,147298.14877849998
112225,30717.005246633995
112226,55489.4497296
112227,58739.29091000005
112228,98551.70814880001
112229,49251.74293955998
112230,230135.77096700002
112231,16380.352501302008
112232,158387.83340090004
112233,37691.14390278999
112234,38621.81843632003
112235,22861.191472549992
112236,113616.3913431
112237,353442.538489
112238,27106.039683500007
112239,24358.821341460007
112240,35152.26946905
112241,18808.27041135999
112242,42586.58860330002
112243,81131.50526810001
112244,152790.0928764001
112245,105850.21989559995
112246,49700.007947499995
112247,422403.4018409998
112248,83384.85162549997
112249,13372.172629648154
112250,58127.28710959998
112251,49075.775155999996
112252,59365.05725179998
112253,17810.776094970006
112254,285372.476664
112255,44337.120099460015
112256,27472.093976119995
112257,39934.738819859995
112258,435374.848305
112259,192422.66975789997
112260,117901.26195079993
112261,342128.54717799975
112262,96019.61001990004
112263,31599.739311800007
112264,80627.82750970006
112265,30541.01768094
112266,33460.44766294
112267,37396.06676992999
112268,57917.19775040001
112269,390405.22439299984
112270,23918.35621165399
112271,69324.01119729996
112272,77582.12211470002
112273,168242.49897840005
112274,15056.224173674005
112275,174635.36435699995
112276,156985.01681260005
112277,52659.047217770014
112278,28456.756429759997
112279,29053.773779839994
112280,125453.90091140014
112281,59194.73304819998
112282,176814.79906559992
112283,83664.77540909997
112284,67600.01195666003
112285,76597.67831669998
112286,56419.286492199964
112287,35069.66198752
112288,75098.58770309998
112289,321103.09942300007
112290,190371.44777039994
112291,44124.12081431999
112292,574004.0944050001
112293,27582.87375702999
112294,324952.77955700003
112295,50893.478843599994
112296,251950.74354700002
112297,44578.131292800026
112298,31064.698078800004
112299,30725.19495413999
112300,22594.715433529993
112301,24012.432257559987
112302,23615.251167559996
112303,22452.923981706997
112304,156699.66574689996
112305,21280.347686764
112306,46372.52178425998
112307,38373.64788948997
112308,94889.76966180002
112309,32192.14072912998
112310,26059.085620209993
112311,119003.0483737
112312,26842.995337370005
112313,101768.18753389997
112314,30077.34750966999
112315,176721.92252579995
112316,23151.726907860004
112317,31215.910120999975
112318,25556.779060699995
112319,12364.066135383002
112320,837897.5819990003
112321,36356.626628686
112322,31425.686502780012
112323,127576.08780760004
112324,364913.71316299995
112325,217548.47760200006
112326,105955.73124929995
112327,210543.67689819998
112328,102726.09123779993
112329,139982.60822389997
112330,324656.4315189999
112331,330323.4697650003
112332,168578.22174999997
112333,340729.38575100014
112334,203035.50758590008
112335,51294.068404200014
112336,18907.651149310008
112337,216690.13765999995
112338,267615.2393550001
112339,244894.92812300005
112340,38352.38829400003
112341,1113508.3534780003
112342,40454.67139588999
112343,54081.62248632998
112344,41223.71899269999
112345,40096.20399454
112346,91648.55186499994
112347,19204.424318079997
112348,17253.83112528999
112349,21491.236085509983
112350,82740.69054289999
112351,28824.00648472999
112352,69156.10561539994
112353,11916.273984055002
112354,131230.13053539992
112355,68718.48341399999
112356,57557.30592370001
112357,54964.2645404
112358,78928.49167979996
112359,37713.49362291002
112360,33472.68386033998
112361,138091.95585209999
112362,68197.673538
112363,67037.66189450001
112364,20149.733870693995
112365,13507.842888805
112366,30511.140905100005
112367,27995.0209823
112368,47779.9314571
112369,142081.13761239994
112370,12699.165883722006
112371,427493.64973109995
112372,85975.54914140009
112373,62340.02094550005
112374,24803.44157654
112375,43526.3733958
112376,87585.21600960004
112377,111791.61406470001
112378,79183.66725029999
112379,121948.78543680001
112380,74861.84893190001
112381,65125.60223750001
112382,108197.4437936
112383,31410.661035339996
112384,202193.0059266
112385,15251.932125809999
112386,171886.43992109995
112387,66806.3600168
112388,24457.909234599992
112389,36096.33068075
112390,34723.239517400034
112391,20809.179138719996
112392,108449.32450239992
112393,54254.13830073002
112394,46095.90735079998
112395,31860.727580960007
112396,99473.44972930002
112397,36207.938503150006
112398,311756.83735369996
112399,96300.17623040001
112400,60422.404029499994
112401,133595.71393589998
112402,916906.7167480001
112403,133395.94953700004
112404,94232.32798918596
112405,51644.6744582
112406,20171.69239579
112407,23916.506316760006
112408,36700.59820030003
112409,76570.36073909997
112410,21374.374504397005
112411,109945.48298599996
112412,122797.82316950001
112413,23388.368243629993
112414,73225.29153380003
112415,132620.4599746001
112416,68608.32773969998
112417,107243.77598150003
112418,39457.59427505999
112419,205070.24731600002
112420,39978.94138029
112421,206543.19952870012
112422,83823.73492650007
112423,40990.792462400015
112424,28377.64384735998
112425,24422.845112827006
112426,108097.82578249995
112427,311270.5910350001
112428,146686.88620309994
112429,20397.441727359997
112430,33510.48619626
112431,142227.12353450002
